city_name,country_name,country_code,state_name,city_full_name,state_id,city_id
Langfang,China,CN,Hebei,"Langfang, Hebei",,
Zhangjiakou,China,CN,Hebei,"Zhangjiakou, Hebei",,
Chifeng,China,CN,Inner Mongolia,"Chifeng, Inner Mongolia",,
Linfen,China,CN,Shanxi,"Linfen, Shanxi",,
Jiangguanchi,China,CN,Henan,"Jiangguanchi, Henan",,
Luzhou,China,CN,Sichuan,"Luzhou, Sichuan",,
Taiyuan,China,CN,Shanxi,"Taiyuan, Shanxi",,
Zhaoqing,China,CN,Guangdong,"Zhaoqing, Guangdong",,
Xiaoxita,China,CN,Hubei,"Xiaoxita, Hubei",,
Xiamen,China,CN,Fujian,"Xiamen, Fujian",,
Fuzhou,China,CN,Jiangxi,"Fuzhou, Jiangxi",,
Liuzhou,China,CN,Guangxi,"Liuzhou, Guangxi",,
Zhuzhou,China,CN,Hunan,"Zhuzhou, Hunan",,
Chuzhou,China,CN,Anhui,"Chuzhou, Anhui",,
Loudi,China,CN,Hunan,"Loudi, Hunan",,
Deyang,China,CN,Sichuan,"Deyang, Sichuan",,
Qingyuan,China,CN,Guangdong,"Qingyuan, Guangdong",,
Wuhu,China,CN,Anhui,"Wuhu, Anhui",,
Binzhou,China,CN,Shandong,"Binzhou, Shandong",,
Baojishi,China,CN,Shaanxi,"Baojishi, Shaanxi",,
Zaozhuang,China,CN,Shandong,"Zaozhuang, Shandong",,
Neijiang,China,CN,Sichuan,"Neijiang, Sichuan",,
Baicheng,China,CN,Guangxi,"Baicheng, Guangxi",,
Anshan,China,CN,Liaoning,"Anshan, Liaoning",,
Lanzhou,China,CN,Gansu,"Lanzhou, Gansu",,
Puyang,China,CN,Henan,"Puyang, Henan",,
Jiaozuo,China,CN,Henan,"Jiaozuo, Henan",,
Hechi,China,CN,Guangxi,"Hechi, Guangxi",,
Chengde,China,CN,Hebei,"Chengde, Hebei",,
Hanzhong,China,CN,Shaanxi,"Hanzhong, Shaanxi",,
Shiyan,China,CN,Hubei,"Shiyan, Hubei",,
Siping,China,CN,Jilin,"Siping, Jilin",,
Yulinshi,China,CN,Shaanxi,"Yulinshi, Shaanxi",,
Changzhi,China,CN,Shanxi,"Changzhi, Shanxi",,
Qinzhou,China,CN,Guangxi,"Qinzhou, Guangxi",,
Bazhou,China,CN,Sichuan,"Bazhou, Sichuan",,
Qincheng,China,CN,Gansu,"Qincheng, Gansu",,
Zhongshan,China,CN,Guangdong,"Zhongshan, Guangdong",,
Suining,China,CN,Sichuan,"Suining, Sichuan",,
Leshan,China,CN,Sichuan,"Leshan, Sichuan",,
Guang’an,China,CN,Sichuan,"Guang’an, Sichuan",,
Tongren,China,CN,Guizhou,"Tongren, Guizhou",,
Bengbu,China,CN,Anhui,"Bengbu, Anhui",,
Qinhuangdao,China,CN,Hebei,"Qinhuangdao, Hebei",,
Tongliao,China,CN,Inner Mongolia,"Tongliao, Inner Mongolia",,
Jinzhou,China,CN,Liaoning,"Jinzhou, Liaoning",,
Zhenjiang,China,CN,Jiangsu,"Zhenjiang, Jiangsu",,
Ürümqi,China,CN,Xinjiang,"Ürümqi, Xinjiang",,
Heyuan,China,CN,Guangdong,"Heyuan, Guangdong",,
Xinzhou,China,CN,Shanxi,"Xinzhou, Shanxi",,
Wuzhou,China,CN,Guangxi,"Wuzhou, Guangxi",,
Chaoyang,China,CN,Liaoning,"Chaoyang, Liaoning",,
Shaoguan,China,CN,Guangdong,"Shaoguan, Guangdong",,
Shanwei,China,CN,Guangdong,"Shanwei, Guangdong",,
Meishan,China,CN,Sichuan,"Meishan, Sichuan",,
Ningde,China,CN,Fujian,"Ningde, Fujian",,
Daqing,China,CN,Heilongjiang,"Daqing, Heilongjiang",,
Putian,China,CN,Fujian,"Putian, Fujian",,
Hohhot,China,CN,Inner Mongolia,"Hohhot, Inner Mongolia",,
Xiangtan,China,CN,Hunan,"Xiangtan, Hunan",,
Weihai,China,CN,Shandong,"Weihai, Shandong",,
Rizhao,China,CN,Shandong,"Rizhao, Shandong",,
Mudanjiang,China,CN,Heilongjiang,"Mudanjiang, Heilongjiang",,
Tieling,China,CN,Liaoning,"Tieling, Liaoning",,
Dingxi,China,CN,Gansu,"Dingxi, Gansu",,
Nanping,China,CN,Fujian,"Nanping, Fujian",,
Zigong,China,CN,Sichuan,"Zigong, Sichuan",,
Chaozhou,China,CN,Guangdong,"Chaozhou, Guangdong",,
Baotou,China,CN,Inner Mongolia,"Baotou, Inner Mongolia",,
Gulou,China,CN,Fujian,"Gulou, Fujian",,
Longyan,China,CN,Fujian,"Longyan, Fujian",,
Ankang,China,CN,Shaanxi,"Ankang, Shaanxi",,
Baoshan,China,CN,Yunnan,"Baoshan, Yunnan",,
Huludao,China,CN,Liaoning,"Huludao, Liaoning",,
Yanjiang,China,CN,Sichuan,"Yanjiang, Sichuan",,
Sanming,China,CN,Fujian,"Sanming, Fujian",,
Longba,China,CN,Gansu,"Longba, Gansu",,
Yangjiang,China,CN,Guangdong,"Yangjiang, Guangdong",,
Jiamusi,China,CN,Heilongjiang,"Jiamusi, Heilongjiang",,
Luohe,China,CN,Henan,"Luohe, Henan",,
Lincang,China,CN,Yunnan,"Lincang, Yunnan",,
Xuanzhou,China,CN,Anhui,"Xuanzhou, Anhui",,
Yunfu,China,CN,Guangdong,"Yunfu, Guangdong",,
Guangyuan,China,CN,Sichuan,"Guangyuan, Sichuan",,
Huangshi,China,CN,Hubei,"Huangshi, Hubei",,
Jilin,China,CN,Jilin,"Jilin, Jilin",,
Dandong,China,CN,Liaoning,"Dandong, Liaoning",,
Lianshan,China,CN,Liaoning,"Lianshan, Liaoning",,
Yingkou,China,CN,Liaoning,"Yingkou, Liaoning",,
Yuxi,China,CN,Yunnan,"Yuxi, Yunnan",,
Anshun,China,CN,Guizhou,"Anshun, Guizhou",,
Shangzhou,China,CN,Shaanxi,"Shangzhou, Shaanxi",,
Huainan,China,CN,Anhui,"Huainan, Anhui",,
Kuaidamao,China,CN,Jilin,"Kuaidamao, Jilin",,
Jincheng,China,CN,Shanxi,"Jincheng, Shanxi",,
Sanmenxia,China,CN,Henan,"Sanmenxia, Henan",,
Laibin,China,CN,Guangxi,"Laibin, Guangxi",,
Qinbaling,China,CN,Gansu,"Qinbaling, Gansu",,
Xining,China,CN,Qinghai,"Xining, Qinghai",,
Ma’anshan,China,CN,Anhui,"Ma’anshan, Anhui",,
Yan’an,China,CN,Shaanxi,"Yan’an, Shaanxi",,
Gaoping,China,CN,Sichuan,"Gaoping, Sichuan",,
Ningbo,China,CN,Zhejiang,"Ningbo, Zhejiang",,
Puning,China,CN,Guangdong,"Puning, Guangdong",,
Huaibei,China,CN,Anhui,"Huaibei, Anhui",,
Qingyang,China,CN,Fujian,"Qingyang, Fujian",,
Chongzuo,China,CN,Guangxi,"Chongzuo, Guangxi",,
Hezhou,China,CN,Guangxi,"Hezhou, Guangxi",,
Pingliang,China,CN,Gansu,"Pingliang, Gansu",,
Shengli,China,CN,Shandong,"Shengli, Shandong",,
Baicheng,China,CN,Jilin,"Baicheng, Jilin",,
Fushun,China,CN,Liaoning,"Fushun, Liaoning",,
Yinchuan,China,CN,Ningxia,"Yinchuan, Ningxia",,
Pingxiang,China,CN,Jiangxi,"Pingxiang, Jiangxi",,
Zhuhai,China,CN,Guangdong,"Zhuhai, Guangdong",,
Xiping,China,CN,Shanxi,"Xiping, Shanxi",,
Jixi,China,CN,Heilongjiang,"Jixi, Heilongjiang",,
Liaoyang,China,CN,Liaoning,"Liaoyang, Liaoning",,
Fuxin,China,CN,Liaoning,"Fuxin, Liaoning",,
Wuwei,China,CN,Gansu,"Wuwei, Gansu",,
Haikou,China,CN,Hainan,"Haikou, Hainan",,
Shuyangzha,China,CN,Jiangsu,"Shuyangzha, Jiangsu",,
Shuozhou,China,CN,Shanxi,"Shuozhou, Shanxi",,
Benxi,China,CN,Liaoning,"Benxi, Liaoning",,
Baiyin,China,CN,Gansu,"Baiyin, Gansu",,
Sanzhou,China,CN,Chongqing,"Sanzhou, Chongqing",,
Beihai,China,CN,Guangxi,"Beihai, Guangxi",,
Heihe,China,CN,Heilongjiang,"Heihe, Heilongjiang",,
Jingdezhen,China,CN,Jiangxi,"Jingdezhen, Jiangxi",,
Yushan,China,CN,Jiangsu,"Yushan, Jiangsu",,
Chengtangcun,China,CN,Shandong,"Chengtangcun, Shandong",,
Wenzhou,China,CN,Zhejiang,"Wenzhou, Zhejiang",,
Hebi,China,CN,Henan,"Hebi, Henan",,
Zhangjiajie,China,CN,Hunan,"Zhangjiajie, Hunan",,
Changshu,China,CN,Jiangsu,"Changshu, Jiangsu",,
Lianjiang,China,CN,Guangdong,"Lianjiang, Guangdong",,
Ximeicun,China,CN,Fujian,"Ximeicun, Fujian",,
Jianguang,China,CN,Jiangxi,"Jianguang, Jiangxi",,
Yucheng,China,CN,Sichuan,"Yucheng, Sichuan",,
Guiping,China,CN,Guangxi,"Guiping, Guangxi",,
Leizhou,China,CN,Guangdong,"Leizhou, Guangdong",,
Huazhou,China,CN,Henan,"Huazhou, Henan",,
Shuangyashan,China,CN,Heilongjiang,"Shuangyashan, Heilongjiang",,
Pizhou,China,CN,Jiangsu,"Pizhou, Jiangsu",,
Yangshe,China,CN,Jiangsu,"Yangshe, Jiangsu",,
Guyuan,China,CN,Ningxia,"Guyuan, Ningxia",,
Gaozhou,China,CN,Guangdong,"Gaozhou, Guangdong",,
Chizhou,China,CN,Anhui,"Chizhou, Anhui",,
Fuqing,China,CN,Fujian,"Fuqing, Fujian",,
Pingdu,China,CN,Shandong,"Pingdu, Shandong",,
Yutan,China,CN,Hunan,"Yutan, Hunan",,
Huangshan,China,CN,Anhui,"Huangshan, Anhui",,
Liangshi,China,CN,Hunan,"Liangshi, Hunan",,
Xintai,China,CN,Shandong,"Xintai, Shandong",,
Wusong,China,CN,Anhui,"Wusong, Anhui",,
Yushu,China,CN,Jilin,"Yushu, Jilin",,
Rongcheng,China,CN,Yunnan,"Rongcheng, Yunnan",,
Huazhou,China,CN,Guangdong,"Huazhou, Guangdong",,
Yangquan,China,CN,Shanxi,"Yangquan, Shanxi",,
Baishan,China,CN,Jilin,"Baishan, Jilin",,
Dayan,China,CN,Yunnan,"Dayan, Yunnan",,
Haicheng,China,CN,Liaoning,"Haicheng, Liaoning",,
Jiangyin,China,CN,Jiangsu,"Jiangyin, Jiangsu",,
Huaiyin,China,CN,Jiangsu,"Huaiyin, Jiangsu",,
Wuzhong,China,CN,Ningxia,"Wuzhong, Ningxia",,
Rucheng,China,CN,Jiangsu,"Rucheng, Jiangsu",,
Shaoyang,China,CN,Jiangsu,"Shaoyang, Jiangsu",,
Laiwu,China,CN,Shandong,"Laiwu, Shandong",,
Jingling,China,CN,Hubei,"Jingling, Hubei",,
Yongcheng,China,CN,Henan,"Yongcheng, Henan",,
Beidao,China,CN,Gansu,"Beidao, Gansu",,
Xiangshui,China,CN,Guizhou,"Xiangshui, Guizhou",,
Dadukou,China,CN,Sichuan,"Dadukou, Sichuan",,
Zhangye,China,CN,Gansu,"Zhangye, Gansu",,
Xinyu,China,CN,Jiangxi,"Xinyu, Jiangxi",,
Liaoyuan,China,CN,Jilin,"Liaoyuan, Jilin",,
Yingtan,China,CN,Jiangxi,"Yingtan, Jiangxi",,
Guankou,China,CN,Hunan,"Guankou, Hunan",,
Dingzhou,China,CN,Hebei,"Dingzhou, Hebei",,
Lianyuan,China,CN,Hunan,"Lianyuan, Hunan",,
Rongcheng,China,CN,Hubei,"Rongcheng, Hubei",,
Kaiyuan,China,CN,Henan,"Kaiyuan, Henan",,
Leiyang,China,CN,Hunan,"Leiyang, Hunan",,
Yichun,China,CN,Heilongjiang,"Yichun, Heilongjiang",,
Xiantao,China,CN,Hubei,"Xiantao, Hubei",,
Yingchuan,China,CN,Henan,"Yingchuan, Henan",,
Xibeijie,China,CN,Gansu,"Xibeijie, Gansu",,
Hanchuan,China,CN,Hubei,"Hanchuan, Hubei",,
Gongzhuling,China,CN,Jilin,"Gongzhuling, Jilin",,
Yicheng,China,CN,Jiangsu,"Yicheng, Jiangsu",,
Zhufeng,China,CN,Shandong,"Zhufeng, Shandong",,
Taixing,China,CN,Jiangsu,"Taixing, Jiangsu",,
Mizhou,China,CN,Shandong,"Mizhou, Shandong",,
Xishan,China,CN,Hunan,"Xishan, Hunan",,
Ezhou,China,CN,Hubei,"Ezhou, Hubei",,
Hegang,China,CN,Heilongjiang,"Hegang, Heilongjiang",,
Zhongwei,China,CN,Ningxia,"Zhongwei, Ningxia",,
Shouguang,China,CN,Shandong,"Shouguang, Shandong",,
Taizhou,China,CN,Zhejiang,"Taizhou, Zhejiang",,
Wafangdian,China,CN,Liaoning,"Wafangdian, Liaoning",,
Zhongxiang,China,CN,Hubei,"Zhongxiang, Hubei",,
Xinyi,China,CN,Guangdong,"Xinyi, Guangdong",,
Zaoyang,China,CN,Hubei,"Zaoyang, Hubei",,
Shuizhai,China,CN,Henan,"Shuizhai, Henan",,
Xingyi,China,CN,Guizhou,"Xingyi, Guizhou",,
Xingcheng,China,CN,Guangdong,"Xingcheng, Guangdong",,
Dongtai,China,CN,Jiangsu,"Dongtai, Jiangsu",,
Yingcheng,China,CN,Guangdong,"Yingcheng, Guangdong",,
Luocheng,China,CN,Guangdong,"Luocheng, Guangdong",,
Danyang,China,CN,Jiangsu,"Danyang, Jiangsu",,
Nada,China,CN,Hainan,"Nada, Hainan",,
Wuchuan,China,CN,Guangdong,"Wuchuan, Guangdong",,
Huilong,China,CN,Jiangsu,"Huilong, Jiangsu",,
Shaoxing,China,CN,Zhejiang,"Shaoxing, Zhejiang",,
Taishan,China,CN,Guangdong,"Taishan, Guangdong",,
Fangchenggang,China,CN,Guangxi,"Fangchenggang, Guangxi",,
Anqiu,China,CN,Shandong,"Anqiu, Shandong",,
Feicheng,China,CN,Shandong,"Feicheng, Shandong",,
Meishan,China,CN,Henan,"Meishan, Henan",,
Taihe,China,CN,Sichuan,"Taihe, Sichuan",,
Xin’an,China,CN,Jiangsu,"Xin’an, Jiangsu",,
Taihecun,China,CN,Heilongjiang,"Taihecun, Heilongjiang",,
Qingzhou,China,CN,Shandong,"Qingzhou, Shandong",,
Lichuan,China,CN,Hubei,"Lichuan, Hubei",,
Daye,China,CN,Hubei,"Daye, Hubei",,
Hengzhou,China,CN,Guangxi,"Hengzhou, Guangxi",,
Zhuanghe,China,CN,Liaoning,"Zhuanghe, Liaoning",,
Lhasa,China,CN,Tibet,"Lhasa, Tibet",,
Jiaozhou,China,CN,Shandong,"Jiaozhou, Shandong",,
Yangchun,China,CN,Guangdong,"Yangchun, Guangdong",,
Dengtalu,China,CN,Henan,"Dengtalu, Henan",,
Laiyang,China,CN,Shandong,"Laiyang, Shandong",,
Kaifeng Chengguanzhen,China,CN,Henan,"Kaifeng Chengguanzhen, Henan",,
Gaomi,China,CN,Shandong,"Gaomi, Shandong",,
Hai’an,China,CN,Jiangsu,"Hai’an, Jiangsu",,
Weichanglu,China,CN,Shandong,"Weichanglu, Shandong",,
Shache,China,CN,Xinjiang,"Shache, Xinjiang",,
Leping,China,CN,Jiangxi,"Leping, Jiangxi",,
Hailun,China,CN,Heilongjiang,"Hailun, Heilongjiang",,
Macheng,China,CN,Hubei,"Macheng, Hubei",,
Yuci,China,CN,Shanxi,"Yuci, Shanxi",,
Dehui,China,CN,Jilin,"Dehui, Jilin",,
Tongchuan,China,CN,Shaanxi,"Tongchuan, Shaanxi",,
Rongjiawan,China,CN,Hunan,"Rongjiawan, Hunan",,
Renqiu,China,CN,Hebei,"Renqiu, Hebei",,
Xindi,China,CN,Hubei,"Xindi, Hubei",,
Wu’an,China,CN,Hebei,"Wu’an, Hebei",,
Gaoyou,China,CN,Jiangsu,"Gaoyou, Jiangsu",,
Hejian,China,CN,Hebei,"Hejian, Hebei",,
Yiyang,China,CN,Hunan,"Yiyang, Hunan",,
Puxi,China,CN,Henan,"Puxi, Henan",,
Zijinglu,China,CN,Henan,"Zijinglu, Henan",,
Qingping,China,CN,Henan,"Qingping, Henan",,
Xiangxiang,China,CN,Hunan,"Xiangxiang, Hunan",,
Chaohucun,China,CN,Anhui,"Chaohucun, Anhui",,
Fuyang,China,CN,Zhejiang,"Fuyang, Zhejiang",,
Cencheng,China,CN,Guangxi,"Cencheng, Guangxi",,
Dali,China,CN,Yunnan,"Dali, Yunnan",,
Songzi,China,CN,Hubei,"Songzi, Hubei",,
Laixi,China,CN,Shandong,"Laixi, Shandong",,
Zhongba,China,CN,Sichuan,"Zhongba, Sichuan",,
Qingnian,China,CN,Shandong,"Qingnian, Shandong",,
Xinhualu,China,CN,Henan,"Xinhualu, Henan",,
Guangshui,China,CN,Hubei,"Guangshui, Hubei",,
Sizhan,China,CN,Ningxia,"Sizhan, Ningxia",,
Licheng,China,CN,Jiangsu,"Licheng, Jiangsu",,
Chengguan,China,CN,Henan,"Chengguan, Henan",,
Nehe,China,CN,Heilongjiang,"Nehe, Heilongjiang",,
Zunhua,China,CN,Hebei,"Zunhua, Hebei",,
Wugang,China,CN,Hunan,"Wugang, Hunan",,
Shuangqiao,China,CN,Henan,"Shuangqiao, Henan",,
Langzhong,China,CN,Sichuan,"Langzhong, Sichuan",,
Qian’an,China,CN,Hebei,"Qian’an, Hebei",,
Zouping,China,CN,Shandong,"Zouping, Shandong",,
Anlu,China,CN,Hubei,"Anlu, Hubei",,
Changsha,China,CN,Guangdong,"Changsha, Guangdong",,
Shihezi,China,CN,Xinjiang,"Shihezi, Xinjiang",,
Yatou,China,CN,Shandong,"Yatou, Shandong",,
Xichang,China,CN,Sichuan,"Xichang, Sichuan",,
Chengxiang,China,CN,Jiangsu,"Chengxiang, Jiangsu",,
Dashiqiao,China,CN,Liaoning,"Dashiqiao, Liaoning",,
Shishi,China,CN,Fujian,"Shishi, Fujian",,
Qianxi,China,CN,Guizhou,"Qianxi, Guizhou",,
Miluo Chengguanzhen,China,CN,Hunan,"Miluo Chengguanzhen, Hunan",,
Gaizhou,China,CN,Liaoning,"Gaizhou, Liaoning",,
Leling,China,CN,Shandong,"Leling, Shandong",,
Jianshe,China,CN,Henan,"Jianshe, Henan",,
Jingcheng,China,CN,Jiangsu,"Jingcheng, Jiangsu",,
Xinmin,China,CN,Liaoning,"Xinmin, Liaoning",,
Zhongshu,China,CN,Guizhou,"Zhongshu, Guizhou",,
Xigazê,China,CN,Tibet,"Xigazê, Tibet",,
Guankou,China,CN,Sichuan,"Guankou, Sichuan",,
Songyang,China,CN,Henan,"Songyang, Henan",,
Puyang Chengguanzhen,China,CN,Henan,"Puyang Chengguanzhen, Henan",,
Qionghu,China,CN,Hunan,"Qionghu, Hunan",,
Zhaodong,China,CN,Heilongjiang,"Zhaodong, Heilongjiang",,
Wenchang,China,CN,Anhui,"Wenchang, Anhui",,
Shulan,China,CN,Jilin,"Shulan, Jilin",,
Lingbao Chengguanzhen,China,CN,Henan,"Lingbao Chengguanzhen, Henan",,
Xiping,China,CN,Yunnan,"Xiping, Yunnan",,
Sanhe,China,CN,Hebei,"Sanhe, Hebei",,
Guixi,China,CN,Jiangxi,"Guixi, Jiangxi",,
Tengyue,China,CN,Yunnan,"Tengyue, Yunnan",,
Wuxue,China,CN,Hubei,"Wuxue, Hubei",,
Qufu,China,CN,Shandong,"Qufu, Shandong",,
Gaobeidian,China,CN,Hebei,"Gaobeidian, Hebei",,
Ruiming,China,CN,Jiangxi,"Ruiming, Jiangxi",,
Xinshi,China,CN,Hubei,"Xinshi, Hubei",,
Jin’e,China,CN,Sichuan,"Jin’e, Sichuan",,
Changping,China,CN,Beijing,"Changping, Beijing",,
Xinxing,China,CN,Liaoning,"Xinxing, Liaoning",,
Suohe,China,CN,Henan,"Suohe, Henan",,
Zhuangyuan,China,CN,Shandong,"Zhuangyuan, Shandong",,
Bazhou,China,CN,Hebei,"Bazhou, Hebei",,
Turpan,China,CN,Xinjiang,"Turpan, Xinjiang",,
Meihekou,China,CN,Jilin,"Meihekou, Jilin",,
Jurong,China,CN,Jiangsu,"Jurong, Jiangsu",,
Xinji,China,CN,Hebei,"Xinji, Hebei",,
Sanya,China,CN,Hainan,"Sanya, Hainan",,
Zhangshu,China,CN,Jiangxi,"Zhangshu, Jiangxi",,
Zhuozhou,China,CN,Hebei,"Zhuozhou, Hebei",,
Tianchang,China,CN,Anhui,"Tianchang, Anhui",,
Qamdo,China,CN,Tibet,"Qamdo, Tibet",,
Sihui,China,CN,Guangdong,"Sihui, Guangdong",,
Luocheng,China,CN,Sichuan,"Luocheng, Sichuan",,
Chuxiong,China,CN,Yunnan,"Chuxiong, Yunnan",,
Jinhua,China,CN,Zhejiang,"Jinhua, Zhejiang",,
Shangzhi,China,CN,Heilongjiang,"Shangzhi, Heilongjiang",,
Botou,China,CN,Hebei,"Botou, Hebei",,
Wancheng,China,CN,Hainan,"Wancheng, Hainan",,
Xiulin,China,CN,Hubei,"Xiulin, Hubei",,
