state,state_,city,relation_id_state,relation_id_city,url
British Columbia,BC,Burns Lake,,,
British Columbia,BC,Warfield,,,
British Columbia,BC,Ucluelet,,,
British Columbia,BC,Barri??re,,,
British Columbia,BC,Naramata,,,
British Columbia,BC,Royston,,,
British Columbia,BC,Coombs,,,
British Columbia,BC,Nakusp,,,
British Columbia,BC,Regional District of Central Okanagan,,,
British Columbia,BC,Fort St. James,,,
British Columbia,BC,Ashcroft,,,
British Columbia,BC,Hilliers,,,
British Columbia,BC,Keremeos,,,
British Columbia,BC,Gold River,,,
British Columbia,BC,"Grindrod, British Columbia",,,
British Columbia,BC,Harrison Hot Springs,,,
British Columbia,BC,"Popkum, British Columbia",,,
British Columbia,BC,Taylor,,,
British Columbia,BC,Lions Bay,,,
British Columbia,BC,Dunsmuir,,,
British Columbia,BC,Telkwa,,,
British Columbia,BC,"Sorrento, British Columbia",,,
British Columbia,BC,Kaleden,,,
British Columbia,BC,Salmo,,,
British Columbia,BC,Windermere,,,
British Columbia,BC,Youbou,,,
British Columbia,BC,Ootischenia,,,
British Columbia,BC,Valemount,,,
British Columbia,BC,Hudson's Hope,,,
Manitoba,MB,Winnipeg,,,
Manitoba,MB,Brandon,,,
Manitoba,MB,Steinbach,,,
Manitoba,MB,Rural Municipality of Hanover,,,
Manitoba,MB,Springfield,,,
Manitoba,MB,Thompson,,,
Manitoba,MB,Portage la Prairie,,,
Manitoba,MB,Winkler,,,
Manitoba,MB,Rural Municipality of St. Andrews,,,
Manitoba,MB,Tach??,,,
Manitoba,MB,Rural Municipality of St. Clements,,,
Manitoba,MB,Selkirk,,,
Manitoba,MB,East St. Paul,,,
Manitoba,MB,Rural Municipality of Stanley,,,
Manitoba,MB,Morden,,,
Manitoba,MB,Dauphin,,,
Manitoba,MB,Rural Municipality of Rockwood,,,
Manitoba,MB,Macdonald,,,
Manitoba,MB,Rural Municipality of Ritchot,,,
Manitoba,MB,"Gimli, Manitoba",,,
Manitoba,MB,La Broquerie,,,
Manitoba,MB,The Pas,,,
Manitoba,MB,West St. Paul,,,
Manitoba,MB,Rural Municipality of Brokenhead,,,
Manitoba,MB,Ste. Anne,,,
Manitoba,MB,Flin Flon,,,
Manitoba,MB,Stonewall,,,
Manitoba,MB,Neepawa,,,
Manitoba,MB,Rural Municipality of Cornwallis,,,
Manitoba,MB,Altona,,,
Manitoba,MB,Niverville,,,
Manitoba,MB,Swan River,,,
Manitoba,MB,Rural Municipality of De Salaberry,,,
Manitoba,MB,Rural Municipality of Headingley,,,
Manitoba,MB,Municipality of Killarney-Turtle Mountain,,,
Manitoba,MB,Woodlands,,,
Manitoba,MB,Municipality of Bifrost ?C Riverton,,,
Manitoba,MB,Rural Municipality of Cartier,,,
Manitoba,MB,Rural Municipality of Alexander,,,
Manitoba,MB,Hillsburg-Roblin-Shell River,,,
Manitoba,MB,Lorette,,,
Manitoba,MB,WestLake-Gladstone,,,
Manitoba,MB,Beaus??jour,,,
Manitoba,MB,Lac du Bonnet,,,
Manitoba,MB,Virden,,,
Manitoba,MB,Morris,,,
Manitoba,MB,Carman,,,
Manitoba,MB,North Cypress-Langford,,,
Manitoba,MB,Minnedosa,,,
Manitoba,MB,Rural Municipality of Dufferin,,,
Manitoba,MB,Kelsey,,,
Manitoba,MB,Boissevain,,,
Manitoba,MB,"Mitchell, Manitoba",,,
Manitoba,MB,West Interlake,,,
Manitoba,MB,Prairie View,,,
Manitoba,MB,McCreary,,,
Manitoba,MB,Municipality of Deloraine ?C Winchester,,,
Manitoba,MB,Municipality of Oakland ?C Wawanesa,,,
Manitoba,MB,Municipality of Brenda ?C Waskada,,,
Manitoba,MB,Municipality of Russell ?C Binscarth,,,
Manitoba,MB,Ellice-Archie,,,
Manitoba,MB,Municipality of Souris ?C Glenwood,,,
Manitoba,MB,Riverdale Municipality,,,
Manitoba,MB,Municipality of Pembina,,,
Manitoba,MB,Wallace-Woodworth,,,
Manitoba,MB,Municipality of Lorne,,,
Manitoba,MB,Ethelbert,,,
Manitoba,MB,Rural Municipality of Yellowhead,,,
Manitoba,MB,Municipality of Swan Valley West,,,
Manitoba,MB,Rural Municipality of Grey,,,
Manitoba,MB,Gilbert Plains,,,
Manitoba,MB,Municipality of Norfolk Treherne,,,
Manitoba,MB,Hamiota,,,
Manitoba,MB,Municipality of Emerson ?C Franklin,,,
Manitoba,MB,"Sifton, Manitoba",,,
Manitoba,MB,Rossburn,,,
Manitoba,MB,Grandview,,,
Manitoba,MB,"Grassland, Texas",,,
Manitoba,MB,Municipality of Louise,,,
Manitoba,MB,Sainte Rose du Lac,,,
Manitoba,MB,Cartwright ?C Roblin Municipality,,,
Manitoba,MB,Mossey River,,,
Manitoba,MB,Lakeshore,,,
Manitoba,MB,Riding Mountain West,,,
Manitoba,MB,Municipality of Clanwilliam ?C Erickson,,,
Manitoba,MB,Municipality of Glenboro ?C South Cypress,,,
Manitoba,MB,Rural Municipality of North Norfolk,,,
Manitoba,MB,Reinland,,,
Manitoba,MB,Municipality of Minitonas ?C Bowsman,,,
Manitoba,MB,Armstrong,,,
Manitoba,MB,"Piney, Manitoba",,,
Manitoba,MB,Carberry,,,
Manitoba,MB,Rural Municipality of Fisher,,,
Manitoba,MB,Grunthal,,,
Manitoba,MB,Blumenort,,,
Manitoba,MB,Rosedale,,,
Manitoba,MB,Whitehead,,,
Manitoba,MB,Stuartburn,,,
Manitoba,MB,Oakview,,,
Manitoba,MB,Shandon,,,
Manitoba,MB,Victoria,,,
Manitoba,MB,Pinawa,,,
Manitoba,MB,"Pipestone, Manitoba",,,
Manitoba,MB,Prairie Lakes,,,
Manitoba,MB,St. Fran?ois Xavier,,,
Manitoba,MB,Wasagamack,,,
Manitoba,MB,Rural Municipality of Rosser,,,
Manitoba,MB,Rural Municipality of Grahamdale,,,
Manitoba,MB,Reynolds,,,
Manitoba,MB,St. Laurent,,,
Manitoba,MB,Powerview-Pine Falls,,,
Manitoba,MB,Landmark,,,
Manitoba,MB,Rural Municipality of Elton,,,
Manitoba,MB,Gillam,,,
Manitoba,MB,Montcalm,,,
Manitoba,MB,Coldwell,,,
Manitoba,MB,Alonsa,,,
Manitoba,MB,Arborg,,,
Manitoba,MB,Teulon,,,
Manitoba,MB,Minto-Odanah,,,
Manitoba,MB,Glenella-Lansdowne,,,
Manitoba,MB,Scottish Borders,,,
Manitoba,MB,St-Pierre-Jolys,,,
Manitoba,MB,Winnipeg Beach,,,
Manitoba,MB,Roland,,,
Manitoba,MB,Melita,,,
Manitoba,MB,Argyle,,,
New Brunswick,NB,Moncton,,,
New Brunswick,NB,Dieppe,,,
New Brunswick,NB,Saint John,,,
New Brunswick,NB,Fredericton,,,
New Brunswick,NB,Riverview,,,
New Brunswick,NB,Quispamsis,,,
New Brunswick,NB,Bathurst,,,
New Brunswick,NB,Miramichi,,,
New Brunswick,NB,Edmundston,,,
New Brunswick,NB,Tracadie-Sheila,,,
New Brunswick,NB,Rothesay,,,
New Brunswick,NB,Campbellton,,,
New Brunswick,NB,Oromocto,,,
New Brunswick,NB,Shediac,,,
New Brunswick,NB,Beaubassin East,,,
New Brunswick,NB,Beresford,,,
New Brunswick,NB,"Douglas, New Brunswick",,,
New Brunswick,NB,Sackville,,,
New Brunswick,NB,Grand Falls,,,
New Brunswick,NB,Woodstock,,,
New Brunswick,NB,Burton,,,
New Brunswick,NB,Grand Bay-Westfield,,,
New Brunswick,NB,Saint Marys Parish,,,
New Brunswick,NB,Shippagan,,,
New Brunswick,NB,Memramcook,,,
New Brunswick,NB,Hanwell,,,
New Brunswick,NB,Coverdale Parish,,,
New Brunswick,NB,St. Stephen,,,
New Brunswick,NB,Hampton,,,
New Brunswick,NB,Sussex,,,
New Brunswick,NB,Caraquet,,,
New Brunswick,NB,New Maryland,,,
New Brunswick,NB,Dundas Parish,,,
New Brunswick,NB,"Simonds Parish, Saint John County, New Brunswick",,,
New Brunswick,NB,Alnwick,,,
New Brunswick,NB,Atholville,,,
New Brunswick,NB,Studholm Parish,,,
New Brunswick,NB,Salisbury,,,
New Brunswick,NB,"Bright Parish, New Brunswick",,,
New Brunswick,NB,Dalhousie,,,
New Brunswick,NB,Wellington,,,
New Brunswick,NB,Kingston,,,
New Brunswick,NB,Kingsclear,,,
New Brunswick,NB,Wakefield,,,
New Brunswick,NB,"Cocagne, New Brunswick",,,
New Brunswick,NB,Shippagan,,,
New Brunswick,NB,Lincoln,,,
New Brunswick,NB,Cap-Pele,,,
New Brunswick,NB,Bouctouche,,,
New Brunswick,NB,Grand Manan Parish,,,
New Brunswick,NB,St. George,,,
New Brunswick,NB,Paquetville,,,
New Brunswick,NB,Minto,,,
New Brunswick,NB,Northesk,,,
New Brunswick,NB,Upper Miramichi,,,
New Brunswick,NB,Hardwicke,,,
New Brunswick,NB,Saint-Quentin,,,
New Brunswick,NB,Pennfield Ridge,,,
New Brunswick,NB,Kent,,,
New Brunswick,NB,Allardville Parish,,,
New Brunswick,NB,Saint-Charles,,,
New Brunswick,NB,Kedgwick,,,
New Brunswick,NB,Saint Mary Parish,,,
New Brunswick,NB,Westfield Beach,,,
New Brunswick,NB,Eel River Crossing,,,
New Brunswick,NB,Petit-Rocher,,,
New Brunswick,NB,Richibucto,,,
New Brunswick,NB,Maugerville,,,
New Brunswick,NB,Saint-Louis-de-Kent,,,
New Brunswick,NB,St Andrews,,,
New Brunswick,NB,Manners Sutton Parish,,,
New Brunswick,NB,Brighton,,,
New Brunswick,NB,Saint-Antoine,,,
New Brunswick,NB,Northampton,,,
New Brunswick,NB,Wicklow,,,
New Brunswick,NB,Southesk Parish,,,
New Brunswick,NB,Neguac,,,
New Brunswick,NB,Balmoral,,,
New Brunswick,NB,Florenceville-Bristol,,,
New Brunswick,NB,Saint-Jacques,,,
New Brunswick,NB,Perth-Andover,,,
New Brunswick,NB,Glenelg Parish,,,
New Brunswick,NB,Belledune,,,
New Brunswick,NB,"Saint-Joseph, New Brunswick",,,
New Brunswick,NB,Saint David Parish,,,
New Brunswick,NB,Springfield,,,
New Brunswick,NB,St. George,,,
New Brunswick,NB,Gordon Parish,,,
New Brunswick,NB,Southampton,,,
New Brunswick,NB,Nauwigewauk,,,
New Brunswick,NB,Denmark,,,
New Brunswick,NB,Sussex Corner,,,
New Brunswick,NB,Petitcodiac,,,
New Brunswick,NB,Norton,,,
New Brunswick,NB,Bas-Caraquet,,,
New Brunswick,NB,Cardwell Parish,,,
New Brunswick,NB,Weldford Parish,,,
New Brunswick,NB,Charlo,,,
New Brunswick,NB,Hillsborough,,,
New Brunswick,NB,Richmond Parish,,,
New Brunswick,NB,Saint-L?,,,
New Brunswick,NB,Lam C?t,,,
New Brunswick,NB,"Upham Parish, New Brunswick",,,
New Brunswick,NB,Salmon Beach,,,
New Brunswick,NB,Peel,,,
New Brunswick,NB,Musquash,,,
New Brunswick,NB,Saint James Parish,,,
New Brunswick,NB,Queensbury Parish,,,
New Brunswick,NB,Rogersville,,,
New Brunswick,NB,McAdam,,,
New Brunswick,NB,Bertrand,,,
New Brunswick,NB,Newcastle,,,
New Brunswick,NB,St. Martins,,,
New Brunswick,NB,Saint-Andr??,,,
New Brunswick,NB,Chipman,,,
New Brunswick,NB,Dorchester,,,
New Brunswick,NB,Durham,,,
New Brunswick,NB,Havelock,,,
New Brunswick,NB,"Botsford Parish, New Brunswick",,,
New Brunswick,NB,"Greenwich Hill, New Brunswick",,,
New Brunswick,NB,Noonan,,,
New Brunswick,NB,Plaster Rock,,,
New Brunswick,NB,Wilmot,,,
Newfoundland and Labrador,NL,St. John's,,,
Newfoundland and Labrador,NL,Conception Bay South,,,
Newfoundland and Labrador,NL,Mount Pearl Park,,,
Newfoundland and Labrador,NL,Paradise,,,
Newfoundland and Labrador,NL,Corner Brook,,,
Newfoundland and Labrador,NL,Grand Falls-Windsor,,,
Newfoundland and Labrador,NL,Gander,,,
Newfoundland and Labrador,NL,Portugal Cove-St. Philip's,,,
Newfoundland and Labrador,NL,Happy Valley-Goose Bay,,,
Newfoundland and Labrador,NL,Torbay,,,
Newfoundland and Labrador,NL,Labrador City,,,
Newfoundland and Labrador,NL,Stephenville,,,
Newfoundland and Labrador,NL,Clarenville,,,
Newfoundland and Labrador,NL,Bay Roberts,,,
Newfoundland and Labrador,NL,Marystown,,,
Newfoundland and Labrador,NL,Deer Lake,,,
Newfoundland and Labrador,NL,Carbonear,,,
Newfoundland and Labrador,NL,Goulds,,,
Newfoundland and Labrador,NL,Channel-Port aux Basques,,,
Newfoundland and Labrador,NL,Pasadena,,,
Newfoundland and Labrador,NL,Placentia,,,
Newfoundland and Labrador,NL,Bonavista,,,
Newfoundland and Labrador,NL,Lewisporte,,,
Newfoundland and Labrador,NL,Bishop's Falls,,,
Newfoundland and Labrador,NL,Harbour Grace,,,
Newfoundland and Labrador,NL,Springdale,,,
Newfoundland and Labrador,NL,Botwood,,,
Newfoundland and Labrador,NL,Spaniard's Bay,,,
Newfoundland and Labrador,NL,Holyrood,,,
Newfoundland and Labrador,NL,Burin,,,
Newfoundland and Labrador,NL,Grand Bank,,,
Newfoundland and Labrador,NL,St. Anthony,,,
Newfoundland and Labrador,NL,Fogo Island,,,
Newfoundland and Labrador,NL,Logy Bay-Middle Cove-Outer Cove,,,
Newfoundland and Labrador,NL,Twillingate,,,
Newfoundland and Labrador,NL,New-Wes-Valley,,,
Newfoundland and Labrador,NL,Wabana,,,
Newfoundland and Labrador,NL,Glovertown,,,
Newfoundland and Labrador,NL,Pouch Cove,,,
Newfoundland and Labrador,NL,Kippens,,,
Newfoundland and Labrador,NL,Gambo,,,
Newfoundland and Labrador,NL,Wabush,,,
Newfoundland and Labrador,NL,Trinity Bay North,,,
Newfoundland and Labrador,NL,Victoria,,,
Newfoundland and Labrador,NL,Stephenville Crossing,,,
Newfoundland and Labrador,NL,Flat Rock,,,
Newfoundland and Labrador,NL,Harbour Breton,,,
Newfoundland and Labrador,NL,Massey Drive,,,
Newfoundland and Labrador,NL,Witless Bay,,,
Newfoundland and Labrador,NL,Humbermouth,,,
Newfoundland and Labrador,NL,Upper Island Cove,,,
Newfoundland and Labrador,NL,Clarke's Beach,,,
Newfoundland and Labrador,NL,Bay Bulls,,,
Newfoundland and Labrador,NL,Irishtown-Summerside,,,
Newfoundland and Labrador,NL,Fortune,,,
Newfoundland and Labrador,NL,Baie Verte,,,
Newfoundland and Labrador,NL,Burgeo,,,
Newfoundland and Labrador,NL,Dildo,,,
Newfoundland and Labrador,NL,St. George's,,,
Newfoundland and Labrador,NL,St. Lawrence,,,
Newfoundland and Labrador,NL,St. Alban's,,,
Newfoundland and Labrador,NL,Centreville-Wareham-Trinity,,,
Newfoundland and Labrador,NL,Nain,,,
Newfoundland and Labrador,NL,Harbour Main-Chapel's Cove-Lakeview,,,
Northwest Territories,NT,Yellowknife,,,
Northwest Territories,NT,Hay River,,,
Northwest Territories,NT,Inuvik,,,
Northwest Territories,NT,Fort Smith,,,
Northwest Territories,NT,Behchoko,,,
Northwest Territories,NT,Fort Simpson,,,
Nova Scotia,NS,Halifax,,,
Nova Scotia,NS,Cape Breton Regional Municipality,,,
Nova Scotia,NS,New Glasgow,,,
Nova Scotia,NS,Inverness,,,
Nova Scotia,NS,Truro,,,
Nova Scotia,NS,Kentville,,,
Nova Scotia,NS,Chester,,,
Nova Scotia,NS,Queens,,,
Nova Scotia,NS,Amherst,,,
Nova Scotia,NS,Bridgewater,,,
Nova Scotia,NS,"Pointe-de-l'?glise, Nova Scotia",,,
Nova Scotia,NS,Argyle,,,
Nova Scotia,NS,Barrington,,,
Nova Scotia,NS,Yarmouth,,,
Nova Scotia,NS,Antigonish,,,
Nova Scotia,NS,Stellarton,,,
Nova Scotia,NS,Wolfville,,,
Nova Scotia,NS,Windsor,,,
Nova Scotia,NS,Westville,,,
Nova Scotia,NS,Port Hawkesbury,,,
Nova Scotia,NS,Pictou,,,
Nova Scotia,NS,Berwick,,,
Nova Scotia,NS,Trenton,,,
Nova Scotia,NS,Lunenburg,,,
Nova Scotia,NS,Lantz,,,
Nova Scotia,NS,Digby,,,
Nova Scotia,NS,Middleton,,,
Nova Scotia,NS,Shelburne,,,
Nova Scotia,NS,Stewiacke,,,
Nova Scotia,NS,"Falmouth, Nova Scotia",,,
Nova Scotia,NS,Parrsboro,,,
Nova Scotia,NS,Oxford,,,
Nova Scotia,NS,Centreville,,,
Nova Scotia,NS,Wedgeport,,,
Nova Scotia,NS,Mahone Bay,,,
Nunavut,NU,Iqaluit,,,
Nunavut,NU,Rankin Inlet,,,
Nunavut,NU,Arviat,,,
Nunavut,NU,Baker Lake,,,
Nunavut,NU,Cambridge Bay,,,
Nunavut,NU,Igloolik,,,
Nunavut,NU,Pond Inlet,,,
Nunavut,NU,Kugluktuk,,,
Nunavut,NU,Pangnirtung,,,
Nunavut,NU,Cape Dorset,,,
Nunavut,NU,Gjoa Haven,,,
Nunavut,NU,Repulse Bay,,,
Nunavut,NU,"Clyde River, Nunavut",,,
Nunavut,NU,Taloyoak,,,
Ontario,ON,Toronto,,,
Ontario,ON,Ottawa,,,
Ontario,ON,Mississauga,,,
Ontario,ON,Hamilton,,,
Ontario,ON,Brampton,,,
Ontario,ON,Kitchener,,,
Ontario,ON,London,,,
Ontario,ON,Markham,,,
Ontario,ON,St. Catharines,,,
Ontario,ON,Niagara Falls,,,
Ontario,ON,Vaughan,,,
Ontario,ON,Windsor,,,
Ontario,ON,Richmond Hill,,,
Ontario,ON,Oakville,,,
Ontario,ON,Burlington,,,
Ontario,ON,Barrie,,,
Ontario,ON,Oshawa,,,
Ontario,ON,Guelph,,,
Ontario,ON,Cambridge,,,
Ontario,ON,Whitby,,,
Ontario,ON,Ajax,,,
Ontario,ON,Milton,,,
Ontario,ON,Thunder Bay,,,
Ontario,ON,Waterloo,,,
Ontario,ON,Chatham-Kent,,,
Ontario,ON,Brantford,,,
Ontario,ON,Clarington,,,
Ontario,ON,Pickering,,,
Ontario,ON,Greater Sudbury,,,
Ontario,ON,Newmarket,,,
Ontario,ON,Peterborough,,,
Ontario,ON,Kawartha Lakes,,,
Ontario,ON,Sault Ste. Marie,,,
Ontario,ON,Sarnia,,,
Ontario,ON,Caledon,,,
Ontario,ON,St. Thomas,,,
Ontario,ON,Halton Hills,,,
Ontario,ON,Aurora,,,
Ontario,ON,Welland,,,
Ontario,ON,North Bay,,,
Ontario,ON,Belleville,,,
Ontario,ON,Cornwall,,,
Ontario,ON,Stouffville,,,
Ontario,ON,Georgina,,,
Ontario,ON,Quinte West,,,
Ontario,ON,Timmins,,,
Ontario,ON,New Tecumseth,,,
Ontario,ON,Woodstock,,,
Ontario,ON,Brant,,,
Ontario,ON,Lakeshore,,,
Ontario,ON,Innisfil,,,
Ontario,ON,Bradford West Gwillimbury,,,
Ontario,ON,Leamington,,,
Ontario,ON,Owen Sound,,,
Ontario,ON,Stratford,,,
Ontario,ON,Orillia,,,
Ontario,ON,Orangeville,,,
Ontario,ON,Fort Erie,,,
Ontario,ON,LaSalle,,,
Ontario,ON,Centre Wellington,,,
Ontario,ON,Grimsby,,,
Ontario,ON,Woolwich,,,
Ontario,ON,Clarence-Rockland,,,
Ontario,ON,East Gwillimbury,,,
Ontario,ON,Lincoln,,,
Ontario,ON,Tecumseh,,,
Ontario,ON,Amherstburg,,,
Ontario,ON,Brockville,,,
Ontario,ON,Collingwood,,,
Ontario,ON,Scugog,,,
Ontario,ON,Kingsville,,,
Ontario,ON,Uxbridge,,,
Ontario,ON,Essa,,,
Ontario,ON,Oro-Medonte,,,
Ontario,ON,Strathroy-Caradoc,,,
Ontario,ON,Wasaga Beach,,,
